Municipio;Anno scolastico;Gestione;Unità scol;Classi;Alunni_F;Alunni_MF
1;2002/2003;Statale;10;119;1289;2492
2;2002/2003;Statale;8;102;1031;2146
3;2002/2003;Statale;6;113;1321;2714
4;2002/2003;Statale;11;118;1037;2346
5;2002/2003;Statale;8;103;1015;2178
6;2002/2003;Statale;11;116;1161;2465
7;2002/2003;Statale;12;188;2023;4118
8;2002/2003;Statale;16;177;1679;3613
9;2002/2003;Statale;12;133;1450;2973
1;2002/2003;Non Statale;15;66;593;1224
2;2002/2003;Non Statale;6;35;279;764
3;2002/2003;Non Statale;9;42;585;1086
4;2002/2003;Non Statale;3;14;125;242
5;2002/2003;Non Statale;3;12;130;247
6;2002/2003;Non Statale;3;24;277;558
7;2002/2003;Non Statale;4;21;183;363
8;2002/2003;Non Statale;4;25;272;543
9;2002/2003;Non Statale;3;12;156;276
1;2003/2004;Statale;10;125;1360;2634
2;2003/2004;Statale;8;96;1023;2108
3;2003/2004;Statale;7;132;1542;3128
4;2003/2004;Statale;11;115;1030;2309
5;2003/2004;Statale;8;103;1055;2168
6;2003/2004;Statale;11;115;1158;2460
7;2003/2004;Statale;10;173;1836;3816
8;2003/2004;Statale;16;182;1713;3664
9;2003/2004;Statale;12;146;1496;3060
1;2003/2004;Non Statale;15;74;688;1402
2;2003/2004;Non Statale;5;31;332;741
3;2003/2004;Non Statale;8;36;505;914
4;2003/2004;Non Statale;4;15;105;219
5;2003/2004;Non Statale;3;13;134;265
6;2003/2004;Non Statale;3;24;258;538
7;2003/2004;Non Statale;4;23;272;512
8;2003/2004;Non Statale;5;24;243;535
9;2003/2004;Non Statale;4;19;187;430
1;2004/2005;Statale;10;127;1379;2736
2;2004/2005;Statale;8;96;988;2075
3;2004/2005;Statale;7;135;1568;3179
4;2004/2005;Statale;11;116;1068;2298
5;2004/2005;Statale;8;104;1037;2146
6;2004/2005;Statale;11;113;1126;2386
7;2004/2005;Statale;10;177;1891;3910
8;2004/2005;Statale;16;184;1729;3689
9;2004/2005;Statale;12;147;1493;3068
1;2004/2005;Non Statale;15;73;698;1446
2;2004/2005;Non Statale;6;36;356;883
3;2004/2005;Non Statale;8;33;485;926
4;2004/2005;Non Statale;4;15;126;242
5;2004/2005;Non Statale;2;11;118;254
6;2004/2005;Non Statale;3;24;262;535
7;2004/2005;Non Statale;6;29;325;588
8;2004/2005;Non Statale;5;24;252;561
9;2004/2005;Non Statale;3;16;204;367
1;2005/2006;Statale;10;126;1352;2745
2;2005/2006;Statale;8;95;997;2058
3;2005/2006;Statale;7;136;1569;3216
4;2005/2006;Statale;11;114;1090;2327
5;2005/2006;Statale;7;107;1012;2134
6;2005/2006;Statale;11;104;1106;2314
7;2005/2006;Statale;10;174;1919;3832
8;2005/2006;Statale;16;188;1748;3703
9;2005/2006;Statale;12;146;1455;3057
1;2005/2006;Non Statale;15;74;707;1458
2;2005/2006;Non Statale;6;35;334;879
3;2005/2006;Non Statale;8;34;482;903
4;2005/2006;Non Statale;4;15;129;246
5;2005/2006;Non Statale;2;12;122;263
6;2005/2006;Non Statale;3;25;237;523
7;2005/2006;Non Statale;6;29;298;555
8;2005/2006;Non Statale;4;24;258;591
9;2005/2006;Non Statale;3;17;214;399
1;2006/2007;Statale;10;124;1333;2722
2;2006/2007;Statale;8;97;990;2092
3;2006/2007;Statale;7;134;1512;3148
4;2006/2007;Statale;11;112;1023;2220
5;2006/2007;Statale;7;106;977;2090
6;2006/2007;Statale;10;107;1103;2270
7;2006/2007;Statale;10;174;1894;3792
8;2006/2007;Statale;15;183;1775;3721
9;2006/2007;Statale;13;143;1387;2966
1;2006/2007;Non Statale;14;70;714;1433
2;2006/2007;Non Statale;6;35;347;873
3;2006/2007;Non Statale;9;37;504;939
4;2006/2007;Non Statale;4;16;149;274
5;2006/2007;Non Statale;2;12;131;270
6;2006/2007;Non Statale;3;25;261;537
7;2006/2007;Non Statale;8;33;316;618
8;2006/2007;Non Statale;3;22;245;561
9;2006/2007;Non Statale;3;18;217;424
1;2007/2008;Statale;10;126;1351;2797
2;2007/2008;Statale;8;96;956;2039
3;2007/2008;Statale;7;133;1520;3145
4;2007/2008;Statale;11;110;1015;2209
5;2007/2008;Statale;7;106;1013;2162
6;2007/2008;Statale;10;107;1088;2199
7;2007/2008;Statale;10;173;1860;3733
8;2007/2008;Statale;14;179;1798;3791
9;2007/2008;Statale;13;139;1386;2957
1;2007/2008;Non Statale;14;75;745;1467
2;2007/2008;Non Statale;6;40;391;966
3;2007/2008;Non Statale;9;38;498;974
4;2007/2008;Non Statale;4;16;154;306
5;2007/2008;Non Statale;2;12;128;272
6;2007/2008;Non Statale;3;25;270;575
7;2007/2008;Non Statale;8;35;332;631
8;2007/2008;Non Statale;3;23;242;571
9;2007/2008;Non Statale;3;18;240;448
1;2008/2009;Statale;10;126;1401;2832
2;2008/2009;Statale;8;96;980;2100
3;2008/2009;Statale;7;133;1455;3113
4;2008/2009;Statale;11;113;1064;2295
5;2008/2009;Statale;7;107;1026;2194
6;2008/2009;Statale;10;109;1129;2322
7;2008/2009;Statale;10;173;1809;3792
8;2008/2009;Statale;14;178;1857;3901
9;2008/2009;Statale;13;140;1425;2954
1;2008/2009;Non Statale;14;76;788;1531
2;2008/2009;Non Statale;6;44;465;1035
3;2008/2009;Non Statale;9;45;525;1006
4;2008/2009;Non Statale;4;18;177;374
5;2008/2009;Non Statale;2;12;141;295
6;2008/2009;Non Statale;3;24;273;580
7;2008/2009;Non Statale;8;35;317;598
8;2008/2009;Non Statale;2;21;234;543
9;2008/2009;Non Statale;3;18;250;465
1;2009/2010;Statale;11;126;1463;2922
2;2009/2010;Statale;8;94;1018;2126
3;2009/2010;Statale;7;137;1552;3268
4;2009/2010;Statale;10;113;1121;2296
5;2009/2010;Statale;7;105;1038;2193
6;2009/2010;Statale;10;114;1133;2362
7;2009/2010;Statale;10;177;1822;3886
8;2009/2010;Statale;14;184;1889;4070
9;2009/2010;Statale;13;142;1479;3076
1;2009/2010;Non Statale;14;78;788;1554
2;2009/2010;Non Statale;6;46;466;1084
3;2009/2010;Non Statale;8;42;469;930
4;2009/2010;Non Statale;4;20;200;428
5;2009/2010;Non Statale;2;12;148;300
6;2009/2010;Non Statale;3;24;279;594
7;2009/2010;Non Statale;8;36;323;612
8;2009/2010;Non Statale;3;24;268;591
9;2009/2010;Non Statale;3;19;257;467
1;2010/2011;Statale;11;128;1495;2995
2;2010/2011;Statale;8;98;1082;2222
3;2010/2011;Statale;7;140;1569;3301
4;2010/2011;Statale;10;112;1133;2317
5;2010/2011;Statale;7;101;1001;2134
6;2010/2011;Statale;11;113;1150;2381
7;2010/2011;Statale;10;178;1861;3952
8;2010/2011;Statale;14;192;1932;4145
9;2010/2011;Statale;13;145;1457;3092
1;2010/2011;Non Statale;14;74;795;1543
2;2010/2011;Non Statale;6;44;444;1049
3;2010/2011;Non Statale;8;42;491;907
4;2010/2011;Non Statale;4;22;221;483
5;2010/2011;Non Statale;2;12;148;304
6;2010/2011;Non Statale;4;25;263;576
7;2010/2011;Non Statale;8;36;324;631
8;2010/2011;Non Statale;3;24;265;574
9;2010/2011;Non Statale;4;24;288;583
1;2011/2012;Statale;10;130;1492;3022
2;2011/2012;Statale;8;102;1167;2357
3;2011/2012;Statale;7;142;1586;3327
4;2011/2012;Statale;10;113;1120;2385
5;2011/2012;Statale;7;101;996;2166
6;2011/2012;Statale;11;110;1145;2341
7;2011/2012;Statale;10;178;1936;4023
8;2011/2012;Statale;14;200;1994;4292
9;2011/2012;Statale;13;147;1487;3178
1;2011/2012;Non Statale;14;77;794;1558
2;2011/2012;Non Statale;6;43;437;1052
3;2011/2012;Non Statale;8;40;467;891
4;2011/2012;Non Statale;4;23;236;500
5;2011/2012;Non Statale;2;12;153;304
6;2011/2012;Non Statale;4;24;251;566
7;2011/2012;Non Statale;8;39;357;708
8;2011/2012;Non Statale;3;25;284;583
9;2011/2012;Non Statale;4;25;295;587
1;2012/2013;Statale;10;133;1573;3095
2;2012/2013;Statale;8;106;1169;2417
3;2012/2013;Statale;7;144;1594;3373
4;2012/2013;Statale;10;119;1198;2530
5;2012/2013;Statale;7;102;1015;2200
6;2012/2013;Statale;10;107;1137;2333
7;2012/2013;Statale;10;175;1969;4046
8;2012/2013;Statale;14;198;2025;4262
9;2012/2013;Statale;13;147;1499;3171
1;2012/2013;Non Statale;14;76;764;1517
2;2012/2013;Non Statale;5;40;451;1003
3;2012/2013;Non Statale;9;42;469;934
4;2012/2013;Non Statale;4;24;234;497
5;2012/2013;Non Statale;2;12;160;312
6;2012/2013;Non Statale;4;25;257;561
7;2012/2013;Non Statale;8;39;349;685
8;2012/2013;Non Statale;3;25;293;595
9;2012/2013;Non Statale;4;25;290;616
1;2013/2014;Statale;11;136;1744;3338
2;2013/2014;Statale;8;106;1228;2515
3;2013/2014;Statale;7;144;1566;3324
4;2013/2014;Statale;10;128;1304;2713
5;2013/2014;Statale;7;108;1085;2315
6;2013/2014;Statale;10;108;1140;2405
7;2013/2014;Statale;10;181;1995;4140
8;2013/2014;Statale;14;197;2031;4339
9;2013/2014;Statale;13;147;1531;3217
1;2013/2014;Non Statale;14;77;682;1396
2;2013/2014;Non Statale;5;41;462;1021
3;2013/2014;Non Statale;8;38;419;830
4;2013/2014;Non Statale;5;25;247;505
5;2013/2014;Non Statale;2;13;176;323
6;2013/2014;Non Statale;4;25;253;541
7;2013/2014;Non Statale;8;31;219;436
8;2013/2014;Non Statale;3;25;285;581
9;2013/2014;Non Statale;4;24;284;597
1;2014/2015;statale;11;140;1746;3305
2;2014/2015;statale;8;108;1188;2595
3;2014/2015;statale;7;144;1555;3324
4;2014/2015;statale;10;134;1337;2821
5;2014/2015;statale;7;110;1088;2345
6;2014/2015;statale;10;109;1098;2370
7;2014/2015;statale;10;186;2091;4284
8;2014/2015;statale;14;191;2013;4268
9;2014/2015;statale;13;148;1527;3172
1;2014/2015;Non statale;14;74;729;1482
2;2014/2015;Non statale;5;41;487;1042
3;2014/2015;Non statale;8;37;372;766
4;2014/2015;Non statale;5;26;249;524
5;2014/2015;Non statale;2;13;168;327
6;2014/2015;Non statale;4;26;262;561
7;2014/2015;Non statale;8;33;263;478
8;2014/2015;Non statale;3;24;264;532
9;2014/2015;Non statale;4;25;312;638
1;2015/2016;statale;11;144;1733;3365
2;2015/2016;statale;8;109;1192;2620
3;2015/2016;statale;7;143;1538;3263
4;2015/2016;statale;10;138;1344;2861
5;2015/2016;statale;7;111;1070;2362
6;2015/2016;statale;10;111;1098;2372
7;2015/2016;statale;10;195;2160;4434
8;2015/2016;statale;14;195;2014;4342
9;2015/2016;statale;13;152;1534;3199
1;2015/2016;Non statale;12;68;668;1353
2;2015/2016;Non statale;6;45;519;1117
3;2015/2016;Non statale;8;36;380;763
4;2015/2016;Non statale;5;28;270;582
5;2015/2016;Non statale;2;14;158;328
6;2015/2016;Non statale;4;26;257;545
7;2015/2016;Non statale;8;33;289;547
8;2015/2016;Non statale;3;24;255;529
9;2015/2016;Non statale;4;25;323;628
1;2016/2017;statale;11;144;1727;3427
2;2016/2017;statale;8;114;1237;2659
3;2016/2017;statale;7;143;1565;3300
4;2016/2017;statale;10;142;1388;2993
5;2016/2017;statale;7;112;1093;2329
6;2016/2017;statale;9;110;1117;2304
7;2016/2017;statale;10;195;2169;4494
8;2016/2017;statale;14;190;2004;4269
9;2016/2017;statale;13;157;1554;3211
1;2016/2017;Non statale;12;69;661;1362
2;2016/2017;Non statale;7;48;553;1154
3;2016/2017;Non statale;8;38;433;861
4;2016/2017;Non statale;5;29;294;630
5;2016/2017;Non statale;2;14;156;350
6;2016/2017;Non statale;4;26;246;531
7;2016/2017;Non statale;7;33;333;633
8;2016/2017;Non statale;3;25;254;546
9;2016/2017;Non statale;4;26;344;668
1;2017/2018;statale;11;146;1741;3459
2;2017/2018;statale;8;116;1293;2718
3;2017/2018;statale;7;144;1610;3337
4;2017/2018;statale;10;148;1434;3124
5;2017/2018;statale;7;113;1129;2355
6;2017/2018;statale;9;112;1139;2344
7;2017/2018;statale;10;197;2173;4441
8;2017/2018;statale;14;193;2035;4301
9;2017/2018;statale;13;162;1578;3299
1;2017/2018;Non statale;12;73;694;1433
2;2017/2018;Non statale;7;46;510;1108
3;2017/2018;Non statale;8;35;415;863
4;2017/2018;Non statale;5;31;305;660
5;2017/2018;Non statale;2;15;170;374
6;2017/2018;Non statale;4;27;270;561
7;2017/2018;Non statale;7;35;348;698
8;2017/2018;Non statale;4;28;264;584
9;2017/2018;Non statale;4;26;328;660
1;2018/2019;statale;11;148;1740;3468
2;2018/2019;statale;9;122;1321;2771
3;2018/2019;statale;7;144;1591;3323
4;2018/2019;statale;10;150;1412;3136
5;2018/2019;statale;7;117;1151;2383
6;2018/2019;statale;9;111;1163;2331
7;2018/2019;statale;10;203;2217;4549
8;2018/2019;statale;14;195;2077;4330
9;2018/2019;statale;13;162;1595;3322
1;2018/2019;Non statale;12;75;737;1482
2;2018/2019;Non statale;7;45;517;1088
3;2018/2019;Non statale;8;35;429;875
4;2018/2019;Non statale;5;31;309;665
5;2018/2019;Non statale;3;16;178;381
6;2018/2019;Non statale;4;28;288;601
7;2018/2019;Non statale;7;35;321;663
8;2018/2019;Non statale;4;31;290;645
9;2018/2019;Non statale;4;27;322;674
